Rank,Movie,Lifetime Gross,Year
311,Wild Hogs (2007),168273550,2007
312,Kong: Skull Island (2017),168052812,2017
313,Three Men and a Baby (1987),167780960,1987
314,Gone Girl (2014),167767189,2014
315,Hotel Transylvania 3: Summer Vacation (2018),167510016,2018
316,Casino Royale (2006),167445960,2006
317,Meet the Parents (2000),166244045,2000
318,Fifty Shades of Grey (2015),166167230,2015
319,2012 (2009),166112167,2009
320,Robin Hood: Prince of Thieves (1991),165493908,1991
321,Knives Out (2019),165363234,2019
322,Kung Fu Panda 2 (2011),165249063,2011
323,Hannibal (2001),165092268,2001
324,Eternals (2021),164870234,2021
325,Catch Me If You Can (2002),164615351,2002
326,The Proposal (2009),163958031,2009
327,The Pursuit of Happyness (2006),163566459,2006
328,Big Daddy (1999),163479795,1999
329,Clash of the Titans (2010),163214888,2010
330,The SpongeBob Movie: Sponge Out of Water (2015),162994032,2015
331,Batman Returns (1992),162902340,1992
332,Django Unchained (2012),162805434,2012
333,A Bug's Life (1998),162798565,1998
334,Jason Bourne (2016),162434410,2016
335,Grown Ups (2010),162001186,2010
336,The Waterboy (1998),161491646,1998
337,Ice Age 4: Continental Drift (2012),161321843,2012
338,Straight Outta Compton (2015),161197785,2015
339,Die Another Day (2002),160942139,2002
340,No Time to Die (2021),160891007,2021
341,Shark Tale (2004),160861908,2004
342,How to Train Your Dragon: The Hidden World (2019),160799505,2019
343,A Quiet Place Part II (2021),160072261,2021
344,The Heat (2013),159582188,2013
345,Fantastic Beasts: The Crimes of Grindelwald (2018),159555901,2018
346,Halloween (2018),159342015,2018
347,The Sound of Music (1965),159287539,1965
348,1917 (2019),159227644,2019
349,The Secret Life of Pets 2 (2019),158874395,2019
350,Star Trek Beyond (2016),158848340,2016
351,The Firm (1993),158348367,1993
352,The Longest Yard (2005),158119460,2005
353,X-Men (2000),157299718,2000
354,Scary Movie (2000),157019771,2000
355,Fatal Attraction (1987),156645693,1987
356,Who Framed Roger Rabbit (1988),156452370,1988
357,The Sting (1973),156000000,1973
358,What Lies Beneath (2000),155464351,2000
359,X-Men: Apocalypse (2016),155442489,2016
360,The Mummy (1999),155385488,1999
361,Snow White and the Huntsman (2012),155332381,2012
362,San Andreas (2015),155190832,2015
