Rank,Name,Industry,Sector,Headquarters,Revenue,% Change,Profit,Asset,Market Value,Employees
420,Coterra Energy,"Mining, Crude-Oil Production",Energy,"Houston, TX",$9.05,(No previous year),$4.07,$20.15,$18.79,1225
421,Avery Dennison,"Packaging, Containers",Materials,"Mentor, OH",$9.04,8%,$0.76,$7.95,$14.51,36000
422,PVH,Apparel,Apparel,"New York, NY",$9.02,-1%,$0.20,$11.77,$5.59,25000
423,GXO Logistics,Transportation and Logistics,Transportation,"Greenwich, CT",$8.99,13%,$0.20,$9.22,$5.99,112000
424,Polaris,Transportation Equipment,Transportation,"Medina, MN",$8.99,9%,$0.45,$5.22,$6.30,16200
425,Global Payments,Financial Data Services,Business Services,"Atlanta, GA",$8.98,5%,$0.11,$44.81,$27.76,25000
426,Arconic,Metals,Materials,"Pittsburgh, PA",$8.96,19%,$0.18,$6.02,$2.61,11550
427,Vertex Pharmaceuticals,Pharmaceuticals,Health Care,"Boston, MA",$8.93,18%,$3.32,$18.15,$81.00,4800
428,Commercial Metals,Metals,Materials,"Irving, TX",$8.91,32%,$1.22,$6.24,$5.73,12483
429,Autoliv,Motor Vehicles & Parts,Motor Vehicles & Parts,"Auburn Hills, MI",$8.84,7%,$0.42,$7.72,$8.01,65300
430,Constellation Brands,Beverages,"Food, Beverages & Tobacco","Victor, NY",$8.82,2%,$0.04,$25.86,$41.69,10000
431,Hilton Worldwide Holdings,"Hotels, Casinos, Resorts","Hotels, Restaurants & Leisure","McLean, VA",$8.77,(No previous year),$1.25,$15.51,$37.53,159000
432,Foot Locker,Specialty Retailers: Apparel,Retailing,"New York, NY",$8.76,-2%,$0.34,$7.91,$3.71,31040
433,Huntsman,Chemicals,Chemicals,"The Woodlands, TX",$8.72,3%,$0.46,$8.22,$5.03,7000
434,Burlington Stores,Specialty Retailers: Apparel,Retailing,"Burlington, NJ",$8.70,-7%,$0.23,$7.27,$13.12,38018
435,Hertz Global Holdings,"Automotive Retailing, Services",Retailing,"Estero, FL",$8.68,18%,$2.06,$22.50,$5.25,25000
436,Masco,"Home Equipment, Furnishings",Household Products,"Livonia, MI",$8.68,4%,$0.84,$5.19,$11.21,19000
437,Williams-Sonoma,Specialty Retailers: Other,Retailing,"San Francisco, CA",$8.67,5%,$1.13,$4.66,$8.06,16800
438,Chipotle Mexican Grill,Food Services,"Hotels, Restaurants & Leisure","Newport Beach, CA",$8.64,14%,$0.90,$6.93,$47.19,104958
439,M&T Bank,Commercial Banks,Financials,"Buffalo, NY",$8.60,(No previous year),$1.99,$200.73,$20.09,22509
440,LPL Financial Holdings,Securities,Financials,"San Diego, CA",$8.60,11%,$0.85,$9.48,$15.91,6415
441,CMS Energy,Utilities: Gas and Electric,Energy,"Jackson, MI",$8.60,14%,$0.84,$31.35,$17.90,8817
442,Campbell Soup,Food Consumer Products,"Food, Beverages & Tobacco","Camden, NJ",$8.56,1%,$0.76,$11.89,$16.46,14700
443,Arthur J. Gallagher,Diversified Financials,Financials,"Rolling Meadows, IL",$8.55,4%,$1.11,$38.91,$40.96,43640
444,Blackstone,Diversified Financials,Financials,"New York, NY",$8.52,-62%,$1.75,$42.52,$62.05,4695
445,Dover,Industrial Machinery,Industrials,"Downers Grove, IL",$8.51,8%,$1.06,$10.90,$21.24,25000
446,ODP,Specialty Retailers: Other,Retailing,"Boca Raton, FL",$8.49,-8%,$0.17,$4.15,$1.81,25000
447,Packaging Corp. of America,"Packaging, Containers",Materials,"Lake Forest, IL",$8.48,10%,$1.03,$8.00,$12.48,15100
448,Brighthouse Financial,"Insurance: Life, Health (Stock)",Financials,"Charlotte, NC",$8.47,19%,$0.00,$225.58,$2.99,1500
449,Beacon Roofing Supply,Wholesalers: Diversified,Wholesalers,"Herndon, VA",$8.43,24%,$0.46,$6.00,$3.78,7478
450,Airbnb,Internet Services and Retailing,Technology,"San Francisco, CA",$8.40,(No previous year),$1.89,$16.04,$79.68,6811
451,Boise Cascade,Wholesalers: Diversified,Wholesalers,"Boise, ID",$8.39,6%,$0.86,$3.24,$2.51,6840
452,Booz Allen Hamilton Holding,Information Technology Services,Technology,"McLean, VA",$8.36,6%,$0.47,$6.03,$12.26,29300
453,Westinghouse Air Brake Technologies,Industrial Machinery,Industrials,"Pittsburgh, PA",$8.36,7%,$0.63,$18.52,$18.23,27000
454,ON Semiconductor,Semiconductors and Other Electronic Components,Technology,"Scottsdale, AZ",$8.33,24%,$1.90,$11.98,$35.56,31055
455,Oshkosh,Construction and Farm Machinery,Industrials,"Oshkosh, WI",$8.28,4%,$0.17,$7.73,$5.44,15000
456,Franklin Resources,Securities,Financials,"San Mateo, CA",$8.28,-2%,$1.29,$28.06,$13.48,9800
457,Taylor Morrison Home,Homebuilders,Engineering & Construction,"Scottsdale, AZ",$8.22,10%,$1.05,$8.47,$4.14,3000
