id,continent
52841,Africa
55481,Asia
10225,Antarctica
50184,Antarctica
12051,Africa
55224,Africa
24767,Africa
53551,Africa
7098,Asia
3914,Antarctica
49964,Antarctica
54398,Africa
48641,Asia
10227,Antarctica
25027,Antarctica
19306,Antarctica
26293,Antarctica
35616,Asia
24011,Asia
51268,Africa
4985,North America
26644,Antarctica
53066,Africa
51110,Africa
1728,Antarctica
50435,Antarctica
18317,Antarctica
16589,Antarctica
27224,Antarctica
16363,Antarctica
14279,Antarctica
21528,Antarctica
14031,Antarctica
54083,Africa
16907,Asia
30406,Asia
2706,Antarctica
13274,Antarctica
701,Antarctica
9314,Antarctica
18368,Antarctica
10706,Antarctica
53,Africa
48392,Antarctica
27937,Antarctica
53279,Africa
19289,Antarctica
48341,Antarctica
24481,Antarctica
11254,Antarctica
2099,Antarctica
25510,Antarctica
5504,Africa
19452,Antarctica
4172,Antarctica
29579,Antarctica
12161,Asia
7191,Asia
16288,Antarctica
52605,Asia
45968,North America
11500,Africa
24811,Africa
18351,Antarctica
24725,Antarctica
5715,Africa
10769,Antarctica
18916,Antarctica
15299,Antarctica
5672,Africa
7826,Antarctica
51145,Africa
7925,Antarctica
51335,Africa
11398,Antarctica
54476,Asia
15373,Antarctica
18001,North America
28241,Antarctica
22284,Antarctica
5979,Africa
3862,Antarctica
22390,North America
7962,Antarctica
39822,Africa
30599,Antarctica
45882,Asia
24699,Antarctica
6158,Africa
15890,Antarctica
600,Antarctica
12978,Antarctica
14344,Antarctica
16962,North America
6384,Africa
7436,Asia
29196,Antarctica
53473,Africa
12034,Australia
57419,Africa
622,Antarctica
15944,Antarctica
29021,Antarctica
24718,Antarctica
4014,Antarctica
30024,Antarctica
19158,Antarctica
16063,Antarctica
19789,Antarctica
17809,Africa
8471,Antarctica
52122,Africa
29424,Antarctica
57020,Africa
50494,Antarctica
54082,Africa
14747,North America
24307,Antarctica
54372,Africa
15489,Europe
7022,Asia
18724,Antarctica
11945,Australia
10139,Australia
3669,Antarctica
2155,Antarctica
990,Antarctica
49843,Antarctica
18772,Antarctica
14944,Antarctica
12857,Antarctica
27332,Antarctica
2249,Antarctica
1639,Antarctica
18220,Antarctica
5940,Africa
18596,Antarctica
46624,Antarctica
7780,Africa
2306,North America
44813,Europe
1470,Antarctica
4730,Antarctica
25024,Antarctica
51750,Africa
54387,Africa
50744,Africa
10510,Antarctica
46884,Antarctica
56019,Africa
13794,Antarctica
49886,Antarctica
48517,Antarctica
570,Antarctica
8758,Antarctica
17935,Europe
24756,Antarctica
22568,Australia
12993,Antarctica
11335,Antarctica
26823,Antarctica
1996,Antarctica
18841,North America
1393,Antarctica
57113,Africa
6855,Asia
3837,Antarctica
25673,Antarctica
29095,Antarctica
27882,Antarctica
51419,Asia
39548,Africa
11236,Antarctica
10470,Antarctica
48959,South America
594,Antarctica
55108,Africa
55728,Africa
50078,Antarctica
56645,Africa
14670,Europe
37836,Africa
24475,Antarctica
19513,Antarctica
8197,Antarctica
39671,Africa
4960,Antarctica
49914,Antarctica
10881,Antarctica
3832,Antarctica
54053,Africa
8864,Antarctica
1950,Antarctica
49560,Africa
23456,Africa
50934,Asia
23967,Antarctica
22371,Asia
10655,Antarctica
13732,Antarctica
29693,Antarctica
21402,Antarctica
30709,Antarctica
4566,Antarctica
16327,Antarctica
49946,Antarctica
16548,Antarctica
844,Antarctica
1801,Antarctica
23722,Europe
14223,Antarctica
8733,Antarctica
55949,Africa
57250,Africa
9213,Antarctica
25889,Antarctica
16242,Antarctica
49740,Antarctica
1307,Antarctica
48548,Asia
22125,Antarctica
2502,Antarctica
28200,Antarctica
26781,Antarctica
219,Africa
40391,Africa
20659,Antarctica
22549,North America
46740,Antarctica
7844,Antarctica
48346,Antarctica
2508,Antarctica
52186,Africa
53425,Africa
54144,Africa
13440,Antarctica
53536,Africa
46900,Antarctica
14583,Antarctica
34011,Asia
50617,Antarctica
29448,Antarctica
52029,Africa
49686,Africa
29019,Antarctica
5168,Asia
12713,Antarctica
49953,Antarctica
6326,Africa
25663,Antarctica
53124,Africa
25177,Antarctica
27884,Antarctica
48306,Antarctica
27151,Antarctica
35543,Asia
21781,Antarctica
6255,Africa
10747,Antarctica
12425,Africa
24586,Antarctica
46697,Antarctica
23342,Asia
32769,North America
20630,Antarctica
21724,Antarctica
10384,Antarctica
10664,Antarctica
57409,Antarctica
1918,Antarctica
12772,Europe
25011,Africa
28497,Antarctica
3946,Antarctica
57080,Africa
50069,Antarctica
35681,Asia
40220,Africa
346,Africa
50589,Antarctica
21138,Antarctica
21739,Antarctica
11484,North America
10508,Antarctica
22221,Antarctica
599,Antarctica
23670,Europe
53985,Africa
2392,Antarctica
1448,Antarctica
2245,Antarctica
13900,Antarctica
16690,North America
9353,Antarctica
40088,Africa
12996,Antarctica
52664,Africa
40230,Africa
30233,Antarctica
22786,North America
871,Antarctica
48217,Antarctica
54484,South America
12746,North America
55123,Africa
13884,Antarctica
51993,Asia
6344,Africa
18252,Antarctica
38767,Africa
23108,North America
48598,Asia
16273,Antarctica
52220,Africa
21263,Antarctica
50018,Antarctica
20265,Antarctica
22213,Antarctica
11638,Africa
30470,North America
20534,Antarctica
3468,Antarctica
14160,Antarctica
46846,Antarctica
19380,Antarctica
50349,Antarctica
12724,Antarctica
15575,Antarctica
12679,Antarctica
242,Africa
18998,Antarctica
4452,Antarctica
5986,Africa
8602,Antarctica
28971,Antarctica
27963,Antarctica
6420,Africa
56771,Africa
6475,Africa
1627,Antarctica
28871,Antarctica
21765,Antarctica
53135,Africa
4363,Antarctica
22021,Antarctica
51008,Asia
9177,Antarctica
25929,Antarctica
6976,Asia
46646,Antarctica
12445,Australia
57134,Africa
28780,Antarctica
12267,North America
9631,Antarctica
24089,North America
20876,Antarctica
31336,Africa
57373,Antarctica
5034,Europe
11405,Antarctica
1149,Antarctica
203,Africa
50079,Antarctica
2517,Antarctica
12291,Europe
3595,Antarctica
23745,Asia
19230,Antarctica
10104,North America
54245,Africa
24990,Antarctica
26676,Antarctica
29290,Antarctica
51928,Asia
24962,Africa
29601,Antarctica
23679,Asia
6830,Asia
29517,Antarctica
244,Africa
7246,Asia
10675,Antarctica
54808,Antarctica
53999,Africa
5568,Africa
12932,Antarctica
26343,Antarctica
21391,Antarctica
2499,Antarctica
16568,Antarctica
46802,Antarctica
29525,Antarctica
51040,Asia
1555,Antarctica
29914,Antarctica
52286,Africa
48552,Asia
51598,Asia
55992,Africa
53967,Africa
21063,Antarctica
48199,Antarctica
28786,Antarctica
314,Africa
56183,Asia
4936,Asia
23497,North America
9956,Antarctica
591,Antarctica
5577,Africa
51509,Africa
22525,Antarctica
52593,Asia
20662,Antarctica
15960,Antarctica
28475,Antarctica
26419,Antarctica
1773,Antarctica
22036,Antarctica
20475,Antarctica
19085,Antarctica
10422,Antarctica
3952,Antarctica
50020,Antarctica
37900,Africa
7498,Asia
5783,Africa
9058,Antarctica
21380,Antarctica
53007,Africa
50917,Asia
20883,Antarctica
13894,Antarctica
19250,Antarctica
8050,Antarctica
8691,Antarctica
48409,Antarctica
13109,Antarctica
51562,Africa
13213,Antarctica
52644,South America
698,Antarctica
7221,Asia
39400,Africa
50943,Asia
47898,Antarctica
8574,Antarctica
4414,Antarctica
28137,Antarctica
56235,Asia
3688,Antarctica
51995,Asia
14316,Antarctica
11782,Africa
39281,Africa
13352,Antarctica
8641,Antarctica
24623,Antarctica
22319,Antarctica
19334,Antarctica
26708,Antarctica
53401,Africa
50228,Antarctica
49366,Africa
50531,Antarctica
15618,Antarctica
29604,Antarctica
18358,Antarctica
55921,Africa
975,Antarctica
49025,Africa
26813,Antarctica
53193,Africa
54742,Africa
15455,Africa
28079,Antarctica
49486,Africa
56602,South America
56830,Africa
48108,Antarctica
12992,Antarctica
1271,Antarctica
51109,Africa
57086,Africa
54474,North America
49910,Antarctica
9345,Antarctica
9304,Antarctica
28517,Antarctica
14799,Antarctica
35592,Asia
