ID,Name,City,Region,Applied,Admitted,Enrolled
CENTENNIAL HIGH SCHOOL50676,CENTENNIAL HIGH SCHOOL,Corona,Riverside,86,28,9
CENTRAL BUCKS HIGH SCHOOL EAST390488,CENTRAL BUCKS HIGH SCHOOL EAST,Doylestown,PA,21,3,3
CENTRAL VALLEY HIGH SCHOOL53988,CENTRAL VALLEY HIGH SCHOOL,Ceres,Stanislaus,42,8,4
CERRITOS HIGH SCHOOL50527,CERRITOS HIGH SCHOOL,Cerritos,Los Angeles,168,26,15
CESAR E CHAVEZ HIGH SCHOOL50841,CESAR E CHAVEZ HIGH SCHOOL,Delano,Kern,29,7,6
CHADWICK INTERNATIONAL SCHOOL682171,,,,48,8,5
CHADWICK SCHOOL52680,CHADWICK SCHOOL,Palos Verdes Estate,Los Angeles,41,12,8
CHAFFEY HIGH SCHOOL52275,CHAFFEY HIGH SCHOOL,Ontario,San Bernardino,46,8,5
CHAMINADE COLLEGE PREPARATORY51565,CHAMINADE COLLEGE PREPARATORY,West Hills,Los Angeles,123,9,5
CHAPARRAL HIGH SCHOOL53539,CHAPARRAL HIGH SCHOOL,Temecula,Riverside,81,11,9
CHEONGSHIM INTERNATIONAL ACAD682029,,,,32,5,3
CHINO HILLS HIGH SCHOOL50564,CHINO HILLS HIGH SCHOOL,Chino Hills,San Bernardino,104,23,17
CHRISTOPHER HIGH SCHOOL54364,CHRISTOPHER HIGH SCHOOL,Gilroy,Santa Clara,51,6,3
CLAREMONT HIGH SCHOOL50590,CLAREMONT HIGH SCHOOL,Claremont,Los Angeles,98,25,10
CLASSICAL ACADEMY HIGH SCHOOL54194,CLASSICAL ACADEMY HIGH SCHOOL,Escondido,San Diego,25,7,5
CLAYTON VALLEY HIGH SCHOOL50658,CLAYTON VALLEY HIGH SCHOOL,Concord,Contra Costa,103,10,3
CLEVELAND HIGH SCHOOL52618,CLEVELAND HIGH SCHOOL,Reseda,Los Angeles,137,26,12
CLOVIS EAST HIGH SCHOOL50622,CLOVIS EAST HIGH SCHOOL,Clovis,Fresno,49,5,3
CLOVIS NORTH HIGH SCHOOL50628,CLOVIS NORTH HIGH SCHOOL,Fresno,Fresno,105,19,8
COLISEUM COLLEGE PREP ACADEMY54412,COLISEUM COLLEGE PREP ACADEMY,Oakland,Alameda,23,4,4
COLLEGE PARK HIGH SCHOOL50659,COLLEGE PARK HIGH SCHOOL,Pleasant Hill,Contra Costa,83,9,5
COMPTON EARLY COLLEGE54865,COMPTON EARLY COLLEGE,Compton,Los Angeles,27,5,3
CONCORD HIGH SCHOOL50657,CONCORD HIGH SCHOOL,Concord,Contra Costa,37,5,4
CONVENT OF THE SACRED HEART HS52935,CONVENT OF THE SACRED HEART HS,San Francisco,San Francisco,20,8,3
CORONA DEL MAR HIGH SCHOOL52128,CORONA DEL MAR HIGH SCHOOL,Newport Beach,Orange,122,25,15
CORONA HIGH SCHOOL50675,CORONA HIGH SCHOOL,Corona,Riverside,38,8,5
CORONADO HIGH SCHOOL50680,CORONADO HIGH SCHOOL,Coronado,San Diego,67,4,4
COSTA MESA HIGH SCHOOL50683,COSTA MESA HIGH SCHOOL,Costa Mesa,Orange,25,4,3
COSUMNES OAKS HIGH SCHOOL54204,COSUMNES OAKS HIGH SCHOOL,Elk Grove,Sacramento,89,10,6
CREAN LUTHERAN HIGH SCHOOL51298,CREAN LUTHERAN HIGH SCHOOL,Irvine,Orange,82,6,4
CREDO HIGH SCHOOL54502,CREDO HIGH SCHOOL,Rohnert Park,Sonoma,23,4,4
CRESCENTA VALLEY HIGH SCHOOL51313,CRESCENTA VALLEY HIGH SCHOOL,La Crescenta,Los Angeles,198,31,18
CROSSROADS SCHOOL53307,CROSSROADS SCHOOL,Santa Monica,Los Angeles,58,11,4
CRYSTAL SPRINGS UPLANDS SCH51173,CRYSTAL SPRINGS UPLANDS SCH,Hillsborough,San Mateo,49,9,7
CULVER CITY HIGH SCHOOL50715,CULVER CITY HIGH SCHOOL,Culver City,Los Angeles,129,16,14
CUPERTINO HIGH SCHOOL50718,CUPERTINO HIGH SCHOOL,Cupertino,Santa Clara,356,35,25
CYPRESS HIGH SCHOOL50714,CYPRESS HIGH SCHOOL,Cypress,Orange,112,11,3
DA VINCI COMMUNICATIONS HS54794,DA VINCI COMMUNICATIONS HS,El Segundo,Los Angeles,33,8,4
DAMIEN HIGH SCHOOL52502,DAMIEN HIGH SCHOOL,La Verne,Los Angeles,32,9,4
DARIEN HIGH SCHOOL70145,DARIEN HIGH SCHOOL,Darien,CT,25,4,3
DAVIS SENIOR HIGH SCHOOL50730,DAVIS SENIOR HIGH SCHOOL,Davis,Yolo,213,20,10
DE ANZA HIGH SCHOOL52625,DE ANZA HIGH SCHOOL,Richmond,Contra Costa,77,12,10
DE LA SALLE HIGH SCHOOL50662,DE LA SALLE HIGH SCHOOL,Concord,Contra Costa,45,4,3
DE TOLEDO HIGH SCHOOL53748,DE TOLEDO HIGH SCHOOL,West Hills,Los Angeles,44,14,7
DEL MAR HIGH SCHOOL53083,DEL MAR HIGH SCHOOL,San Jose,Santa Clara,39,7,4
DEL NORTE HIGH SCHOOL54351,DEL NORTE HIGH SCHOOL,San Diego,San Diego,245,27,15
DEL ORO HIGH SCHOOL51507,DEL ORO HIGH SCHOOL,Loomis,Placer,37,5,3
DELHI PUBLIC SCHOOL R K PURAM671830,,,,77,3,3
DESIGN TECH HIGH SCHOOL54814,DESIGN TECH HIGH SCHOOL,Redwood City,San Mateo,68,11,5
DIAMOND BAR HIGH SCHOOL50748,DIAMOND BAR HIGH SCHOOL,Diamond Bar,Los Angeles,263,62,34
DIAMOND RANCH HIGH SCHOOL52516,DIAMOND RANCH HIGH SCHOOL,Pomona,Los Angeles,50,11,8
DOMINGUEZ SENIOR HIGH SCHOOL50652,DOMINGUEZ SENIOR HIGH SCHOOL,Compton,Los Angeles,46,14,3
DOS PUEBLOS HIGH SCHOOL53252,DOS PUEBLOS HIGH SCHOOL,Goleta,Santa Barbara,116,22,12
DOUGHERTY VALLEY HIGH SCHOOL53218,DOUGHERTY VALLEY HIGH SCHOOL,San Ramon,Contra Costa,547,67,34
DOWNEY HIGH SCHOOL50770,DOWNEY HIGH SCHOOL,Downey,Los Angeles,87,12,5
DOWNTOWN COLG PREP EL PRIMERO53164,DOWNTOWN COLG PREP EL PRIMERO,San Jose,Santa Clara,22,4,3
DOWNTOWN MAGNETS HIGH SCHOOL51576,DOWNTOWN MAGNETS HIGH SCHOOL,Los Angeles,Los Angeles,65,15,8
DR RICHARD VLADOVIC HARBOR ACA53747,DR RICHARD VLADOVIC HARBOR ACA,Wilmington,Los Angeles,49,8,3
DR TJ OWENS GILROY EARLY COLG51228,DR TJ OWENS GILROY EARLY COLG,Gilroy,Santa Clara,40,6,4
DUARTE HIGH SCHOOL50783,DUARTE HIGH SCHOOL,Duarte,Los Angeles,15,5,4
DUBAI AMERICAN ACADEMY697012,,,,26,3,3
DUBLIN HIGH SCHOOL50784,DUBLIN HIGH SCHOOL,Dublin,Alameda,363,37,23
EAGLE ROCK HIGH SCHOOL51580,EAGLE ROCK HIGH SCHOOL,Los Angeles,Los Angeles,89,27,13
EASTLAKE HIGH SCHOOL480548,EASTLAKE HIGH SCHOOL,Sammamish,WA,114,9,3
EDISON HIGH SCHOOL50980,EDISON HIGH SCHOOL,Fresno,Fresno,108,18,7
EDISON HIGH SCHOOL51218,EDISON HIGH SCHOOL,Huntington Beach,Orange,68,12,6
EDWARD R ROYBAL LEARNING CNTR51862,EDWARD R ROYBAL LEARNING CNTR,Los Angeles,Los Angeles,17,5,3
EL CAMINO HIGH SCHOOL53648,EL CAMINO HIGH SCHOOL,Ventura,Ventura,11,4,3
EL CAMINO HIGH53413,EL CAMINO HIGH,South San Francisco,San Mateo,71,12,7
EL CAMINO REAL CHARTER HIGH SC53801,EL CAMINO REAL CHARTER HIGH SC,Woodland Hills,Los Angeles,147,16,5
EL CAPITAN HIGH SCHOOL54697,EL CAPITAN HIGH SCHOOL,Merced,Merced,45,10,6
EL CERRITO HIGH SCHOOL50815,EL CERRITO HIGH SCHOOL,El Cerrito,Contra Costa,112,24,16
EL DIAMANTE HIGH SCHOOL53699,EL DIAMANTE HIGH SCHOOL,Visalia,Tulare,33,7,4
EL DORADO HIGH SCHOOL52478,EL DORADO HIGH SCHOOL,Placentia,Orange,55,10,3
EL RANCHO HIGH SCHOOL52655,EL RANCHO HIGH SCHOOL,Pico Rivera,Los Angeles,59,8,4
EL SEGUNDO HIGH SCHOOL50845,EL SEGUNDO HIGH SCHOOL,El Segundo,Los Angeles,91,9,6
EL TORO HIGH SCHOOL51974,EL TORO HIGH SCHOOL,Lake Forest,Orange,72,6,5
ELEANOR ROOSEVELT HIGH SCHOOL54078,ELEANOR ROOSEVELT HIGH SCHOOL,Eastvale,Riverside,163,27,16
ENCINAL HIGH SCHOOL50015,ENCINAL HIGH SCHOOL,Alameda,Alameda,60,6,3
ENVIRONMENTAL CHARTER HS51472,ENVIRONMENTAL CHARTER HS,Lawndale,Los Angeles,43,11,7
ENVISION ACAD ARTS/TECHNOLOGY54285,ENVISION ACAD ARTS/TECHNOLOGY,Oakland,Alameda,24,5,5
ESPERANZA COLLEGE PREP51633,ESPERANZA COLLEGE PREP,Los Angeles,Los Angeles,35,10,3
ESTANCIA HIGH SCHOOL50684,ESTANCIA HIGH SCHOOL,Costa Mesa,Orange,20,6,4
ETIWANDA HIGH SCHOOL50888,ETIWANDA HIGH SCHOOL,Etiwanda,San Bernardino,75,9,4
EVANSTON TOWNSHIP HIGH SCHOOL141860,EVANSTON TOWNSHIP HIGH SCHOOL,Evanston,IL,43,8,3
EVERETT ALVAREZ HIGH SCHOOL52778,EVERETT ALVAREZ HIGH SCHOOL,Salinas,Monterey,57,14,4
EVERGREEN VALLEY HIGH SCHOOL53169,EVERGREEN VALLEY HIGH SCHOOL,San Jose,Santa Clara,311,42,31
EXPERIMENTAL BEIJING NORML UNV694301,,,,153,6,5
F BRAVO MEDICAL MAGNET HS51719,F BRAVO MEDICAL MAGNET HS,Los Angeles,Los Angeles,97,16,4
FAIRFAX HIGH SCHOOL51590,FAIRFAX HIGH SCHOOL,Los Angeles,Los Angeles,79,15,9
FAIRMONT PREPARATORY ACADEMY50103,FAIRMONT PREPARATORY ACADEMY,Anaheim,Orange,55,5,3
FAIRVIEW HIGH SCHOOL60118,FAIRVIEW HIGH SCHOOL,Boulder,CO,80,6,3
FLINTRIDGE PREPARATORY SCHOOL52375,FLINTRIDGE PREPARATORY SCHOOL,La Canada,Los Angeles,86,19,8
FLINTRIDGE SACRED HEART ACAD52380,FLINTRIDGE SACRED HEART ACAD,La Canada,Los Angeles,45,8,6
FLOYD B BUCHANAN HIGH SCHOOL50618,FLOYD B BUCHANAN HIGH SCHOOL,Clovis,Fresno,78,13,7
FONTANA HIGH SCHOOL50945,FONTANA HIGH SCHOOL,Fontana,San Bernardino,63,5,3
FOOTHILL HIGH SCHOOL52497,FOOTHILL HIGH SCHOOL,Pleasanton,Alameda,229,20,15
FOOTHILL HIGH SCHOOL53234,FOOTHILL HIGH SCHOOL,Santa Ana,Orange,102,9,4
FORT BRAGG HIGH SCHOOL50955,FORT BRAGG HIGH SCHOOL,Fort Bragg,Mendocino,13,4,4
