ID,Name,City,Region,Applied,Admitted,Enrolled
CHULA VISTA LRNG CMNTY CHARTER54654,CHULA VISTA LRNG CMNTY CHARTER,Chula Vista,San Diego,48,10,5
CHULA VISTA SENIOR HIGH SCHOOL50580,CHULA VISTA SENIOR HIGH SCHOOL,Chula Vista,San Diego,78,41,27
CITRUS HILL HIGH SCHOOL53978,CITRUS HILL HIGH SCHOOL,Perris,Riverside,85,34,7
CITY OF ANGELS SCHOOL52608,CITY OF ANGELS SCHOOL,Los Angeles,Los Angeles,25,11,3
CLAREMONT HIGH SCHOOL50590,CLAREMONT HIGH SCHOOL,Claremont,Los Angeles,114,15,3
CLARK MAGNET HIGH SCHOOL51301,CLARK MAGNET HIGH SCHOOL,La Crescenta,Los Angeles,72,9,3
CLEVELAND HIGH SCHOOL52618,CLEVELAND HIGH SCHOOL,Reseda,Los Angeles,148,32,9
CLOVIS EAST HIGH SCHOOL50622,CLOVIS EAST HIGH SCHOOL,Clovis,Fresno,49,7,4
CLOVIS NORTH HIGH SCHOOL50628,CLOVIS NORTH HIGH SCHOOL,Fresno,Fresno,117,16,3
COACHELLA VALLEY HIGH SCHOOL50620,COACHELLA VALLEY HIGH SCHOOL,Thermal,Riverside,62,33,10
COASTAL ACADEMY CHARTER51192,COASTAL ACADEMY CHARTER,Oceanside,San Diego,11,6,4
COBALT INSTITUTE MATH/SCIENCE54719,COBALT INSTITUTE MATH/SCIENCE,Victorville,San Bernardino,52,24,4
COLLEGE PARK HIGH SCHOOL50659,COLLEGE PARK HIGH SCHOOL,Pleasant Hill,Contra Costa,84,17,4
COLONY HIGH SCHOOL52384,COLONY HIGH SCHOOL,Ontario,San Bernardino,53,12,3
COLTON HIGH SCHOOL50640,COLTON HIGH SCHOOL,Colton,San Bernardino,53,22,4
COMPTON EARLY COLLEGE54865,COMPTON EARLY COLLEGE,Compton,Los Angeles,33,16,6
COMPTON SENIOR HIGH SCHOOL50651,COMPTON SENIOR HIGH SCHOOL,Compton,Los Angeles,28,19,4
CORONA DEL MAR HIGH SCHOOL52128,CORONA DEL MAR HIGH SCHOOL,Newport Beach,Orange,134,20,5
CORONA HIGH SCHOOL50675,CORONA HIGH SCHOOL,Corona,Riverside,62,19,4
CORONADO HIGH SCHOOL50680,CORONADO HIGH SCHOOL,Coronado,San Diego,82,19,7
COSUMNES OAKS HIGH SCHOOL54204,COSUMNES OAKS HIGH SCHOOL,Elk Grove,Sacramento,90,17,8
CRAWFORD HIGH SCHOOL54630,CRAWFORD HIGH SCHOOL,San Diego,San Diego,46,14,9
CREAN LUTHERAN HIGH SCHOOL51298,CREAN LUTHERAN HIGH SCHOOL,Irvine,Orange,103,26,8
CRESCENTA VALLEY HIGH SCHOOL51313,CRESCENTA VALLEY HIGH SCHOOL,La Crescenta,Los Angeles,255,42,11
CRITICAL DESIGN AND GAMING SCH54632,CRITICAL DESIGN AND GAMING SCH,Los Angeles,Los Angeles,27,18,4
CUPERTINO HIGH SCHOOL50718,CUPERTINO HIGH SCHOOL,Cupertino,Santa Clara,377,65,10
CYPRESS HIGH SCHOOL50714,CYPRESS HIGH SCHOOL,Cypress,Orange,179,26,4
DA VINCI CHARTER ACADEMY51082,DA VINCI CHARTER ACADEMY,Davis,Yolo,19,6,3
DA VINCI SCIENCE HIGH SCHOOL54378,DA VINCI SCIENCE HIGH SCHOOL,El Segundo,Los Angeles,39,11,3
DANA HILLS HIGH SCHOOL50729,DANA HILLS HIGH SCHOOL,Dana Point,Orange,120,20,4
DAVID STARR JORDAN HS51575,DAVID STARR JORDAN HS,Los Angeles,Los Angeles,12,5,4
DAVIS SENIOR HIGH SCHOOL50730,DAVIS SENIOR HIGH SCHOOL,Davis,Yolo,251,46,15
DE ANZA HIGH SCHOOL52625,DE ANZA HIGH SCHOOL,Richmond,Contra Costa,32,21,5
DEL LAGO ACADEMY54746,DEL LAGO ACADEMY,Escondido,San Diego,73,18,7
DEL MAR HIGH SCHOOL53083,DEL MAR HIGH SCHOOL,San Jose,Santa Clara,37,7,3
DEL NORTE HIGH SCHOOL54351,DEL NORTE HIGH SCHOOL,San Diego,San Diego,338,71,29
DELANO HIGH SCHOOL50735,DELANO HIGH SCHOOL,Delano,Kern,15,10,5
DELHI PUBLIC SCHOOL R K PURAM671830,,,,63,20,4
DESERT MIRAGE HIGH SCHOOL54013,DESERT MIRAGE HIGH SCHOOL,Thermal,Riverside,74,36,3
DESERT MOUNTAIN HIGH SCHOOL30396,DESERT MOUNTAIN HIGH SCHOOL,Scottsdale,AZ,30,7,3
DIAMOND BAR HIGH SCHOOL50748,DIAMOND BAR HIGH SCHOOL,Diamond Bar,Los Angeles,348,60,19
DIAMOND RANCH HIGH SCHOOL52516,DIAMOND RANCH HIGH SCHOOL,Pomona,Los Angeles,60,26,4
DOMINGUEZ SENIOR HIGH SCHOOL50652,DOMINGUEZ SENIOR HIGH SCHOOL,Compton,Los Angeles,55,27,9
DON BOSCO TECHNICAL INSTITUTE53053,DON BOSCO TECHNICAL INSTITUTE,Rosemead,Los Angeles,40,8,3
DOS PUEBLOS HIGH SCHOOL53252,DOS PUEBLOS HIGH SCHOOL,Goleta,Santa Barbara,114,28,6
DOUGHERTY VALLEY HIGH SCHOOL53218,DOUGHERTY VALLEY HIGH SCHOOL,San Ramon,Contra Costa,596,72,23
DOWNEY HIGH SCHOOL50770,DOWNEY HIGH SCHOOL,Downey,Los Angeles,134,30,9
DOWNTOWN MAGNETS HIGH SCHOOL51576,DOWNTOWN MAGNETS HIGH SCHOOL,Los Angeles,Los Angeles,79,35,12
DUBLIN HIGH SCHOOL50784,DUBLIN HIGH SCHOOL,Dublin,Alameda,397,63,18
E3 CIVIC HIGH54723,E3 CIVIC HIGH,San Diego,San Diego,33,14,8
EAGLE ROCK HIGH SCHOOL51580,EAGLE ROCK HIGH SCHOOL,Los Angeles,Los Angeles,87,21,3
EAST BAKERSFIELD HIGH SCHOOL50210,EAST BAKERSFIELD HIGH SCHOOL,Bakersfield,Kern,30,18,5
EAST VILLAGE MIDDLE COLLEGE HS54281,EAST VILLAGE MIDDLE COLLEGE HS,San Diego,San Diego,15,11,5
EASTLAKE HIGH SCHOOL50579,EASTLAKE HIGH SCHOOL,Chula Vista,San Diego,185,37,20
EASTSIDE HIGH SCHOOL54060,EASTSIDE HIGH SCHOOL,Lancaster,Los Angeles,51,24,5
EDISON HIGH SCHOOL50980,EDISON HIGH SCHOOL,Fresno,Fresno,103,40,7
EDISON HIGH SCHOOL51218,EDISON HIGH SCHOOL,Huntington Beach,Orange,109,15,4
EISENHOWER HIGH SCHOOL52622,EISENHOWER HIGH SCHOOL,Rialto,San Bernardino,60,32,7
EL CAJON VALLEY HIGH SCHOOL50805,EL CAJON VALLEY HIGH SCHOOL,El Cajon,San Diego,40,17,8
EL CAMINO HIGH SCHOOL52248,EL CAMINO HIGH SCHOOL,Oceanside,San Diego,96,24,11
EL CAMINO REAL CHARTER HIGH SC53801,EL CAMINO REAL CHARTER HIGH SC,Woodland Hills,Los Angeles,205,42,10
EL CAPITAN HIGH SCHOOL51346,EL CAPITAN HIGH SCHOOL,Lakeside,San Diego,29,9,4
EL CERRITO HIGH SCHOOL50815,EL CERRITO HIGH SCHOOL,El Cerrito,Contra Costa,101,53,13
EL DORADO HIGH SCHOOL52478,EL DORADO HIGH SCHOOL,Placentia,Orange,88,23,9
EL MONTE HIGH SCHOOL50835,EL MONTE HIGH SCHOOL,El Monte,Los Angeles,64,26,8
EL SEGUNDO HIGH SCHOOL50845,EL SEGUNDO HIGH SCHOOL,El Segundo,Los Angeles,109,24,7
ELEANOR ROOSEVELT HIGH SCHOOL54078,ELEANOR ROOSEVELT HIGH SCHOOL,Eastvale,Riverside,246,39,14
ELK GROVE HIGH SCHOOL50825,ELK GROVE HIGH SCHOOL,Elk Grove,Sacramento,40,12,3
ENVIRONMENTAL CHARTER HS51472,ENVIRONMENTAL CHARTER HS,Lawndale,Los Angeles,40,27,8
ERNEST RIGHETTI HIGH SCHOOL53303,ERNEST RIGHETTI HIGH SCHOOL,Santa Maria,Santa Barbara,29,12,6
ESCONDIDO CHARTER HIGH SCHOOL50871,ESCONDIDO CHARTER HIGH SCHOOL,Escondido,San Diego,37,9,3
ESCONDIDO HIGH SCHOOL50880,ESCONDIDO HIGH SCHOOL,Escondido,San Diego,107,46,24
ETIWANDA HIGH SCHOOL50888,ETIWANDA HIGH SCHOOL,Etiwanda,San Bernardino,109,24,5
EVERETT ALVAREZ HIGH SCHOOL52778,EVERETT ALVAREZ HIGH SCHOOL,Salinas,Monterey,43,30,5
EVERGREEN VALLEY HIGH SCHOOL53169,EVERGREEN VALLEY HIGH SCHOOL,San Jose,Santa Clara,364,46,11
EXPERIMENTAL BEIJING NORML UNV694301,,,,155,25,6
F BRAVO MEDICAL MAGNET HS51719,F BRAVO MEDICAL MAGNET HS,Los Angeles,Los Angeles,160,65,33
FAIRFAX HIGH SCHOOL51590,FAIRFAX HIGH SCHOOL,Los Angeles,Los Angeles,86,56,16
FAIRMONT PREPARATORY ACADEMY50103,FAIRMONT PREPARATORY ACADEMY,Anaheim,Orange,57,9,3
FALLBROOK UNION HIGH SCHOOL50925,FALLBROOK UNION HIGH SCHOOL,Fallbrook,San Diego,65,18,5
FLORIN HIGH SCHOOL52722,FLORIN HIGH SCHOOL,Sacramento,Sacramento,26,18,7
FLOYD B BUCHANAN HIGH SCHOOL50618,FLOYD B BUCHANAN HIGH SCHOOL,Clovis,Fresno,75,18,3
FOLSOM HIGH SCHOOL50940,FOLSOM HIGH SCHOOL,Folsom,Sacramento,158,24,10
FONTANA HIGH SCHOOL50945,FONTANA HIGH SCHOOL,Fontana,San Bernardino,130,39,6
FOOTHILL HIGH SCHOOL52497,FOOTHILL HIGH SCHOOL,Pleasanton,Alameda,262,29,9
FOOTHILL TECHNOLOGY HS53691,FOOTHILL TECHNOLOGY HS,Ventura,Ventura,60,11,3
FOUNTAIN VALLEY HIGH SCHOOL50964,FOUNTAIN VALLEY HIGH SCHOOL,Fountain Valley,Orange,263,39,13
FRANCIS W PARKER SCHOOL52843,FRANCIS W PARKER SCHOOL,San Diego,San Diego,54,15,3
FRANKLIN HIGH SCHOOL50824,FRANKLIN HIGH SCHOOL,Elk Grove,Sacramento,152,22,7
FREMONT ACD ENGINEERING/DESIGN54523,FREMONT ACD ENGINEERING/DESIGN,Pomona,Los Angeles,11,5,3
FREMONT CHRISTIAN HIGH SCHOOL50978,FREMONT CHRISTIAN HIGH SCHOOL,Fremont,Alameda,21,3,3
FRESNO HIGH SCHOOL50985,FRESNO HIGH SCHOOL,Fresno,Fresno,22,15,4
FULLERTON UNION HIGH SCHOOL51010,FULLERTON UNION HIGH SCHOOL,Fullerton,Orange,59,20,3
GABRIELINO HIGH SCHOOL53062,GABRIELINO HIGH SCHOOL,San Gabriel,Los Angeles,193,24,6
GAHR HIGH SCHOOL50722,GAHR HIGH SCHOOL,Cerritos,Los Angeles,70,13,6
GALILEO ACAD OF SCIENCE & TECH52945,GALILEO ACAD OF SCIENCE & TECH,San Francisco,San Francisco,173,44,14
GARDEN GROVE HIGH SCHOOL51030,GARDEN GROVE HIGH SCHOOL,Garden Grove,Orange,135,32,10
GARDENA HIGH SCHOOL51020,GARDENA HIGH SCHOOL,Gardena,Los Angeles,38,22,6
GAREY HIGH SCHOOL52501,GAREY HIGH SCHOOL,Pomona,Los Angeles,46,16,3
GATEWAY HIGH SCHOOL52947,GATEWAY HIGH SCHOOL,San Francisco,San Francisco,47,11,3
GEORGE WASHINGTON HIGH SCHOOL52950,GEORGE WASHINGTON HIGH SCHOOL,San Francisco,San Francisco,216,61,20
GLADSTONE HIGH SCHOOL50190,GLADSTONE HIGH SCHOOL,Covina,Los Angeles,16,8,3
GLEN A WILSON HIGH SCHOOL52694,GLEN A WILSON HIGH SCHOOL,Hacienda Heights,Los Angeles,117,24,8
GLENDALE HIGH SCHOOL51050,GLENDALE HIGH SCHOOL,Glendale,Los Angeles,59,16,8
GOLDEN VALLEY HIGH SCHOOL50259,GOLDEN VALLEY HIGH SCHOOL,Bakersfield,Kern,36,20,3
GOMPERS PREPARATORY ACADEMY54353,GOMPERS PREPARATORY ACADEMY,San Diego,San Diego,69,37,21
GRANADA HIGH SCHOOL51423,GRANADA HIGH SCHOOL,Livermore,Alameda,98,15,5
GRANADA HILLS CHARTER HIGH SCH51088,GRANADA HILLS CHARTER HIGH SCH,Granada Hills,Los Angeles,353,74,19
GRANITE BAY HIGH SCHOOL51106,GRANITE BAY HIGH SCHOOL,Granite Bay,Placer,148,26,6
GRANITE HILLS HIGH SCHOOL50134,GRANITE HILLS HIGH SCHOOL,Apple Valley,San Bernardino,30,15,8
GRANITE HILLS HIGH SCHOOL50806,GRANITE HILLS HIGH SCHOOL,El Cajon,San Diego,62,20,9
